experiment,learning_rate,batch_size,optimizer,final_val_accuracy,iou,precision,recall,f1_score
1,0.001,16,adam,0.9527208209037781,0.83161914,0.9159599960306287,0.9003147037460888,0.9080699660364836
2,0.001,32,adam,0.9392483830451965,0.7978568,0.8534471904505389,0.9245228085115071,0.8875643502333704
3,0.0005,16,adam,0.9513453245162964,0.82592297,0.919756852793689,0.8900575812299161,0.9046635327105734
4,0.0005,32,adam,0.939741313457489,0.7978174,0.8600900133820437,0.9167998712011368,0.8875399880786802
