learning_rate,batch_size,optimizer,iou,f1_score,val_loss
0.001,16,adam,0.4992667930322748,0.8445583072315084,0.191839337348938
0.001,32,adam,0.490199816718441,0.8413706443399731,0.1991165280342102
0.0005,16,adam,0.48123410356133967,0.8301718057758323,0.20145414769649506
0.0005,32,adam,0.4496212311801979,0.8139962040415216,0.217738077044487
