fold,iou,precision,recall,f1_score,val_accuracy
1,0.44067444964994323,0.6570582883656242,0.8529745482893701,0.7423069829986165,0.8442187309265137
2,0.4300767774962027,0.768380607119487,0.7101292265713931,0.7381073522909458,0.8773522973060608
3,0.40984254015003624,0.7721997150402918,0.7188629905499262,0.7445773502960306,0.8724523782730103
4,0.3125936089281296,0.8398578508552427,0.500512149523665,0.6272283425406943,0.8479199409484863
5,0.2577284494771769,0.9360210911778563,0.4425650583998915,0.6009783269019843,0.8483532667160034
