fold,val_accuracy,val_loss,iou,precision,recall,f1_score
1,0.815858781337738,0.44652968645095825,0.27243716,0.9010020738738459,0.2808439691633809,0.4282131334143632
2,0.8470554947853088,0.38525184988975525,0.488932,0.8002987500274862,0.556873263249552,0.6567553296744421
3,0.8625171780586243,0.346323162317276,0.5372792,0.8025288389956178,0.6191303789819306,0.6990001231633169
